nd47	6
nd141	6
nd142	6
nd50	6
nd145	6
nd185	6
nd114	6
nd73	6
nd173	6
nd174	6
nd107	6
nd108	6
nd169	6
nd170	6
nd177	0
nd178	0
nd199	0
nd200	0
nd148	0
nd127	28
nd171	0
nd172	0
nd124	48
nd106	8
nd137	8
nd138	0
nd55	6
nd167	6
nd168	6
nd157	1
nd158	1
nd181	7
nd182	1
nd115	1
nd129	1
nd175	0
nd189	0
nd190	0
nd160	7
nd117	1
nd118	6
nd85	1
nd99	9
nd100	1
nd103	1
nd163	1
nd164	28
nd126	9
nd133	6
nd134	6
nd155	6
nd156	6
nd63	6
nd183	0
nd193	0
nd194	0
nd192	0
nd162	0
nd112	22
nd139	6
nd197	6
nd198	6
nd187	6
nd188	6
nd82	7
nd72	6
nd62	6
nd179	0
nd180	0
nd144	0
nd153	0
nd154	6
nd122	0
nd101	24
nd149	1
nd150	48
nd152	6
nd109	6
nd166	6
nd67	6
nd95	22
nd58	6
nd195	6
nd196	6
nd89	6
nd90	6
outgroup	7
