G,N,K,O,M,H,Z
0,144,394.32030625,469.04730625,534.765625,595.36,247.662063905955
144,0,61.74030625,93.26730625,123.765625,153.76,13.967281297259
394.32030625,61.74030625,0,3.24,10.67655625,20.63430625,16.9761913516068
469.04730625,93.26730625,3.24,0,2.15355625,7.52130625,35.0489739603025
534.765625,123.765625,10.67655625,2.15355625,0,1.625625,54.5783682537807
595.36,153.76,20.63430625,7.52130625,1.625625,0,75.0426726016068
247.662063905955,13.967281297259,16.9761913516068,35.0489739603025,54.5783682537807,75.0426726016068,0
