G,N,K,O,M,H,Z
0,12,19.8575,21.6575,23.125,24.4,15.7372826086957
-12,0,7.8575,9.6575,11.125,12.4,3.73728260869565
-19.8575,-7.8575,0,1.8,3.2675,4.5425,-4.12021739130435
-21.6575,-9.6575,-1.8,0,1.4675,2.7425,-5.92021739130435
-23.125,-11.125,-3.2675,-1.4675,0,1.275,-7.38771739130435
-24.4,-12.4,-4.5425,-2.7425,-1.275,0,-8.66271739130435
-15.7372826086957,-3.73728260869565,4.12021739130435,5.92021739130435,7.38771739130435,8.66271739130435,0
