R,K,O,M,H,Z
0001,0534,nan,nan,nan,0534
0534,0001,nan,nan,nan,0534
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
0534,0534,nan,nan,nan,0001
