G,N,K,O,M,H,Z
1,250000,1e+06,1512900,2250000,nan,9e+06
250000,1,285156,427716,553536,nan,414736
1e+06,285156,1,21025,57121,nan,93636
1512900,427716,21025,1,3481,nan,81796
2250000,553536,57121,3481,1,nan,120409
nan,nan,nan,nan,nan,nan,nan
9e+06,414736,93636,81796,120409,nan,1
