R,K,O,M,H,Z
0001,nan,nan,nan,nan,001
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
001,nan,nan,nan,nan,0001
