R,K,O,M,H,Z
0,nan,nan,nan,nan,0
nan,0,nan,nan,nan,nan
nan,nan,0,nan,nan,nan
nan,nan,nan,0,nan,nan
nan,nan,nan,nan,0,nan
1,nan,nan,nan,nan,0
