G,N,K,O,M,H,Z
1,250000,1e+06,1512900,2250000,2560000,9e+06
250000,1,285156,427716,553536,729316,9e+06
1e+06,285156,1,21025,57121,175561,9e+06
1512900,427716,21025,1,3481,57121,9e+06
2250000,553536,57121,3481,1,6724,9e+06
2560000,729316,175561,57121,6724,1,9e+06
9e+06,9e+06,9e+06,9e+06,9e+06,9e+06,1
