G,N,K,O,M,H,Z
0,12,nan,nan,nan,nan,9.58728260869565
-12,0,nan,nan,nan,nan,-2.41271739130435
nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan
-9.58728260869565,2.41271739130435,nan,nan,nan,nan,0
