G,N,K,O,M,H,Z
1,250000,1e+06,1512900,nan,nan,9e+06
250000,1,285156,427716,nan,nan,9e+06
1e+06,285156,1,21025,nan,nan,9e+06
1512900,427716,21025,1,nan,nan,9e+06
nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan
9e+06,9e+06,9e+06,9e+06,nan,nan,1
