root	13
nd1	4
nd18	4
nd25	4
nd35	4
nd40	4
nd45	4
nd46	4
nd69	4
nd36	4
nd134	4
nd139	4
nd26	4
nd59	4
nd179	4
nd180	4
nd60	4
nd79	4
nd115	4
nd181	4
nd116	4
nd125	4
nd163	4
nd80	4
nd153	4
nd2	13
nd3	4
nd7	4
nd9	4
nd11	4
nd19	4
nd23	4
nd29	4
nd97	26
nd98	4
nd149	4
nd30	4
nd85	4
nd86	4
nd95	4
nd24	4
nd65	4
nd78	4
nd173	4
nd201	4
nd202	4
nd66	4
nd67	4
nd119	4
nd141	4
nd147	4
nd152	15
nd148	4
nd142	4
nd185	4
nd196	4
nd186	4
nd191	21
nd68	4
nd76	4
nd100	4
nd184	4
nd20	4
nd12	4
nd15	4
nd16	4
nd10	4
nd32	4
nd84	4
nd110	4
nd8	4
nd37	4
nd43	4
nd111	4
nd157	4
nd112	4
nd44	4
nd62	4
nd63	4
nd64	4
nd81	4
nd89	4
nd103	4
nd171	4
nd172	4
nd90	4
nd38	4
nd49	4
nd57	4
nd138	4
nd144	4
nd50	4
nd127	4
nd4	13
nd6	4
nd13	4
nd42	4
nd14	4
nd21	4
nd27	4
nd33	4
nd73	4
nd34	4
nd53	4
nd54	4
nd55	4
nd106	4
nd123	4
nd131	4
nd124	4
nd165	4
nd178	4
nd228	14
nd56	4
nd28	4
nd93	4
nd22	4
nd47	4
nd48	4
nd88	4
