nd328	0
nd289	0
nd290	7
nd282	0
nd357	0
nd391	0
nd392	0
nd376	0
nd231	0
nd322	0
nd415	0
nd416	0
nd272	0
nd355	0
nd356	0
nd248	0
nd276	0
nd407	0
nd408	0
nd362	0
nd309	0
nd405	0
nd406	0
nd352	0
nd341	0
nd393	0
nd394	0
nd212	8
nd279	0
nd350	0
nd266	0
nd335	0
nd336	0
nd308	0
nd317	0
nd318	0
nd388	0
nd411	0
nd398	0
nd413	0
nd414	0
nd385	0
nd386	0
nd334	0
nd343	0
nd344	0
nd373	0
nd409	0
nd410	0
nd402	0
nd396	0
nd368	0
nd263	0
nd379	0
nd380	0
nd340	0
nd238	0
nd287	0
nd288	0
nd329	0
nd330	0
nd235	0
nd381	0
nd382	0
nd372	0
nd347	0
nd348	0
nd365	0
nd353	0
nd403	0
nd404	0
nd384	0
nd360	0
nd181	0
nd324	0
nd320	0
nd304	0
nd377	0
nd399	0
