R,K,O,M,H,Z
0001,0534,0654,nan,nan,0594
0534,0001,0145,nan,nan,0606
0654,0145,0001,nan,nan,0726
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
0594,0606,0726,nan,nan,0001
