R,K,O,M,H,Z
0001,0534,0654,0744,0854,0696
0534,0001,0145,0239,0419,0334
0654,0145,0001,0059,0239,0274
0744,0239,0059,0001,0082,0281
0854,0419,0239,0082,0001,0398
0696,0334,0274,0281,0398,0001
