G,N,K,O,M,H,Z
1,250000,1e+06,nan,nan,nan,9e+06
250000,1,285156,nan,nan,nan,9e+06
1e+06,285156,1,nan,nan,nan,9e+06
nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan
9e+06,9e+06,9e+06,nan,nan,nan,1
